Date,Product,Batch,Production_Qty,Defects,Humidity_pct,Fat_pct,Viscosity,Fineness_um,Production_Time_h,Operator,Machine
2024-01-01,Noir Extrême,B10001,1048,16,0.96,37.5,7071.0,16.3,7.13,OP03,M01
2024-01-01,Noir Extrême,B10002,1036,20,0.32,30.8,6780.0,18.2,6.83,OP02,M01
2024-01-02,Noir Gourmand,B10003,962,15,0.61,30.2,7149.0,17.3,6.64,OP01,M02
2024-01-03,Noir Extrême,B10004,1416,22,0.34,34.4,6150.0,19.7,6.62,OP03,M02
2024-01-04,Lait Suprême,B10005,1168,23,0.93,28.6,6273.0,17.2,6.62,OP05,M03
2024-01-05,Noir Light,B10006,1082,13,1.05,30.3,6426.0,18.7,7.55,OP04,M01
2024-01-06,Noir Extrême,B10007,1344,34,0.45,33.3,7187.0,18.6,7.34,OP02,M03
2024-01-06,Lait Suprême,B10008,831,15,0.66,28.9,7096.0,18.3,7.58,OP02,M01
2024-01-07,Noir Light,B10009,1203,21,0.88,30.0,6168.0,19.0,7.31,OP04,M03
2024-01-08,Noir Gourmand,B10010,1206,16,1.2,29.9,6592.0,19.0,7.79,OP05,M02
2024-01-09,Noir Light,B10011,1494,20,0.36,33.3,7195.0,18.1,7.96,OP02,M03
2024-01-10,Noir Extrême,B10012,1496,41,0.98,38.8,6408.0,17.2,6.74,OP01,M03
2024-01-11,Noir Extrême,B10013,1310,34,0.76,29.5,6750.0,19.4,7.26,OP03,M03
2024-01-12,Noir Light,B10014,964,13,1.0,35.4,6001.0,17.3,6.53,OP03,M01
2024-01-12,Lait Suprême,B10015,858,11,0.81,29.1,6878.0,19.3,7.97,OP02,M02
2024-01-13,Noir Gourmand,B10016,1473,22,0.79,31.7,7047.0,17.7,6.82,OP02,M01
2024-01-14,Noir Gourmand,B10017,1117,18,0.9,33.2,7080.0,17.8,6.87,OP02,M03
2024-01-15,Noir Extrême,B10018,1400,26,0.83,28.1,6849.0,16.2,6.6,OP01,M02
2024-01-16,Noir Extrême,B10019,1324,20,0.9,31.0,6159.0,19.7,7.36,OP01,M02
2024-01-17,Noir Corsé,B10020,1214,15,0.39,34.0,6508.0,17.9,7.59,OP04,M01
2024-01-18,Noir Extrême,B10021,1145,26,0.4,30.7,6644.0,16.6,6.78,OP04,M01
2024-01-18,Noir Corsé,B10022,1251,21,1.07,29.4,6783.0,18.2,6.52,OP01,M01
2024-01-19,Noir Extrême,B10023,1214,23,0.49,33.6,6070.0,17.5,7.98,OP02,M01
2024-01-20,Lait Suprême,B10024,1231,21,0.96,39.0,6794.0,17.9,6.78,OP03,M02
2024-01-21,Noir Light,B10025,1353,13,0.58,28.7,6572.0,19.7,7.3,OP05,M01
2024-01-22,Noir Extrême,B10026,989,16,0.36,40.1,6485.0,19.8,7.35,OP01,M03
2024-01-23,Noir Gourmand,B10027,1432,19,0.89,35.9,6380.0,17.0,7.5,OP01,M03
2024-01-23,Lait Suprême,B10028,1203,16,0.88,34.4,7115.0,19.7,6.51,OP03,M01
2024-01-24,Noir Gourmand,B10029,874,15,0.76,29.9,6419.0,16.3,6.87,OP01,M03
2024-01-25,Lait Suprême,B10030,1354,24,0.85,41.8,6785.0,16.0,7.73,OP04,M01
2024-01-26,Lait Suprême,B10031,936,15,1.1,38.4,6187.0,17.1,6.82,OP01,M03
2024-01-27,Lait Suprême,B10032,1315,21,1.11,39.8,6111.0,17.7,6.92,OP03,M01
2024-01-28,Noir Extrême,B10033,1450,35,0.45,34.2,6847.0,18.2,6.67,OP02,M02
2024-01-29,Noir Light,B10034,1176,17,0.43,29.8,6370.0,19.6,7.69,OP01,M03
2024-01-29,Noir Extrême,B10035,1496,23,0.39,38.9,7061.0,17.6,7.43,OP02,M02
