Date,Order_ID,Product,Category,Region,Sales_Channel,Units_Sold,Unit_Price_MAD,Unit_Cost_MAD,Promotion,Revenue_MAD,Cost_MAD,Profit_MAD
2025-02-02 00:00:00,ORD-10000,Canned Peas 400g,Canned Goods,Casablanca,Online,96,11.78,7.23,Yes,1130.88,694.1,436.76
2025-07-07 00:00:00,ORD-10001,Olive Oil 500ml,Oils,Casablanca,Retail,116,48.21,33.18,No,5592.36,3848.95,1743.82
2025-06-14 00:00:00,ORD-10002,Couscous 1kg,Grains,Marrakech,Supermarket,126,24.5,14.98,No,3087,1886.9,1199.53
2025-01-25 00:00:00,ORD-10003,Apple Juice 1L,Beverages,Agadir,Wholesale,144,16.38,9.82,No,2358.72,1414.57,944.08
2025-09-29 00:00:00,ORD-10004,Canned Tomatoes 400g,Canned Goods,Fes,Online,54,8.98,4.93,No,484.92,265.99,218.82
2025-06-18 00:00:00,ORD-10005,Olive Oil 500ml,Oils,Casablanca,Supermarket,120,48.25,33.86,No,5790,4063.04,1727.06
2025-02-05 00:00:00,ORD-10006,Pasta 500g,Grains,Fes,Wholesale,176,13.19,7.85,No,2321.44,1381.5,939.9
2025-10-31 00:00:00,ORD-10007,Olive Oil 500ml,Oils,Rabat,Wholesale,168,48.06,33.22,No,8074.08,5581.22,2492.11
2025-07-04 00:00:00,ORD-10008,UHT Milk 1L,Dairy,Rabat,Supermarket,70,11.06,7.22,No,774.2,505.29,268.73
2025-07-29 00:00:00,ORD-10009,Canned Tomatoes 400g,Canned Goods,Marrakech,Retail,117,8.17,5.01,Yes,955.89,586.57,369.82
2025-12-29 00:00:00,ORD-10010,Orange Juice 1L,Beverages,Casablanca,Supermarket,102,18.23,11.16,No,1859.46,1138.34,721.44
2025-07-04 00:00:00,ORD-10011,Canned Peas 400g,Canned Goods,Marrakech,Retail,107,10.45,7.19,Yes,1118.15,769.81,348.33
2025-09-12 00:00:00,ORD-10012,Milk Powder 500g,Dairy,Rabat,Retail,97,37.84,26.01,No,3670.48,2523.21,1146.91
2025-03-29 00:00:00,ORD-10013,Pasta 500g,Grains,Marrakech,Retail,60,12.87,8.21,Yes,772.2,492.47,279.56
2025-06-16 00:00:00,ORD-10014,Couscous 1kg,Grains,Agadir,Wholesale,207,23.56,14.67,No,4876.92,3035.79,1841.69
