Order_ID,Customer_ID,Order_Date,Product,Category,Country,Sales_Channel,Quantity,Unit_Price_MAD,Discount_Rate,Revenue_MAD,Cost_MAD,Profit_MAD
O100099,10050,2025-01-02,Dates 1kg,Pantry,Morocco,Retail,1,57.34,0.05,54.47,31.85,22.62
O100022,10112,2025-01-02,Tuna 160g,Canned Goods,France,Supermarket,4,9.28,0.0,37.12,26.69,10.43
O100406,10114,2025-01-03,Tomato Sauce,Canned Goods,Morocco,Supermarket,2,12.66,0.1,22.79,15.76,7.03
O100274,10003,2025-01-05,Couscous 5kg,Grains,Morocco,Online,2,72.81,0.0,145.62,93.36,52.26
O100371,10079,2025-01-05,Cheese 500g,Dairy,Morocco,Online,2,41.14,0.0,82.28,59.75,22.53
O100350,10051,2025-01-06,Couscous 5kg,Grains,Spain,Supermarket,5,76.81,0.05,364.85,268.69,96.16
O100183,10064,2025-01-08,Flour 5kg,Baking,Morocco,Supermarket,4,46.45,0.05,176.51,116.5,60.01
O100247,10083,2025-01-09,Couscous 5kg,Grains,Morocco,Retail,1,77.3,0.0,77.3,52.46,24.84
O100105,10110,2025-01-09,Olive Oil 1L,Oils,Morocco,Supermarket,2,35.12,0.05,66.73,40.67,26.06
O100064,10093,2025-01-09,Milk 1L,Dairy,Spain,Retail,2,8.62,0.05,16.38,10.81,5.57
O100280,10039,2025-01-10,Tomato Sauce,Canned Goods,Morocco,Supermarket,4,11.21,0.0,44.84,26.04,18.8
O100463,10051,2025-01-11,Flour 5kg,Baking,Morocco,Supermarket,3,48.11,0.15,122.68,78.31,44.37
O100277,10038,2025-01-12,Honey 500g,Pantry,Morocco,Supermarket,3,39.6,0.05,112.86,75.95,36.91
O100390,10011,2025-01-12,Honey 500g,Pantry,Morocco,Online,1,35.22,0.0,35.22,23.57,11.65
O100021,10060,2025-01-12,Flour 5kg,Baking,Morocco,Retail,1,50.55,0.0,50.55,34.5,16.05
O100116,10059,2025-01-13,Olive Oil 5L,Oils,Morocco,Retail,1,143.56,0.15,122.03,75.58,46.45
O100393,10036,2025-01-14,Milk 1L,Dairy,Morocco,Retail,4,7.59,0.0,30.36,19.93,10.43
O100365,10052,2025-01-15,Tomato Sauce,Canned Goods,Spain,Supermarket,4,11.83,0.0,47.32,31.77,15.55
O100015,10005,2025-01-15,Couscous 5kg,Grains,Morocco,Supermarket,1,67.09,0.0,67.09,45.14,21.95
O100377,10076,2025-01-16,Couscous 1kg,Grains,Morocco,Supermarket,1,18.82,0.0,18.82,12.53,6.29
O100359,10052,2025-01-16,Flour 1kg,Baking,Morocco,Supermarket,3,11.63,0.1,31.4,18.53,12.87
O100278,10058,2025-01-16,Tuna 160g,Canned Goods,Morocco,Retail,1,9.34,0.2,7.47,4.35,3.12
O100317,10063,2025-01-17,Cheese 500g,Dairy,Morocco,Online,3,41.91,0.0,125.73,78.48,47.25
O100252,10047,2025-01-18,Olive Oil 5L,Oils,Morocco,Online,3,164.65,0.0,493.95,353.0,140.95
O100002,10012,2025-01-18,Dates 1kg,Pantry,Spain,Retail,1,57.29,0.05,54.43,39.15,15.28
O100074,10021,2025-01-19,Couscous 1kg,Grains,France,Supermarket,3,17.7,0.1,47.79,34.88,12.91
O100265,10118,2025-01-19,Couscous 5kg,Grains,Morocco,Supermarket,1,68.74,0.0,68.74,51.55,17.19
O100432,10026,2025-01-19,Tuna 160g,Canned Goods,France,Supermarket,3,8.85,0.0,26.55,16.58,9.97
O100399,10098,2025-01-20,Milk 1L,Dairy,Morocco,Retail,2,7.69,0.05,14.61,10.54,4.07
O100437,10060,2025-01-20,Honey 500g,Pantry,Morocco,Supermarket,3,36.13,0.0,108.39,72.37,36.02
O100089,10063,2025-01-21,Couscous 1kg,Grains,Spain,Retail,2,17.42,0.05,33.1,20.42,12.68
O100234,10059,2025-01-22,Tomato Sauce,Canned Goods,Morocco,Online,2,12.55,0.2,20.08,13.3,6.78
O100087,10084,2025-01-22,Tuna 160g,Canned Goods,Morocco,Supermarket,1,9.23,0.0,9.23,6.48,2.75
O100338,10094,2025-01-23,Tuna 160g,Canned Goods,France,Supermarket,2,8.54,0.05,16.23,11.72,4.51
O100385,10096,2025-01-24,Tuna 160g,Canned Goods,Morocco,Supermarket,3,8.44,0.0,25.32,16.1,9.22
O100123,10067,2025-01-25,Dates 1kg,Pantry,Belgium,Online,2,52.86,0.05,100.43,59.17,41.26
O100243,10013,2025-01-25,Dates 1kg,Pantry,Morocco,Supermarket,2,51.39,0.0,102.78,77.85,24.93
O100258,10049,2025-01-26,Olive Oil 5L,Oils,Morocco,Online,3,155.05,0.1,418.64,305.22,113.42
O100402,10021,2025-01-28,Flour 1kg,Baking,Morocco,Supermarket,2,10.77,0.0,21.54,12.52,9.02
O100364,10005,2025-01-28,Milk 1L,Dairy,Belgium,Online,3,8.78,0.05,25.02,17.71,7.31
O100451,10099,2025-01-29,Cheese 500g,Dairy,Spain,Supermarket,3,45.91,0.0,137.73,100.61,37.12
O100167,10048,2025-01-29,Honey 500g,Pantry,Spain,Supermarket,3,37.06,0.0,111.18,78.27,32.91
O100191,10052,2025-01-29,Flour 5kg,Baking,Morocco,Supermarket,4,50.49,0.05,191.86,125.69,66.17
O100001,10079,2025-01-31,Cheese 500g,Dairy,Morocco,Supermarket,2,44.7,0.15,75.99,55.33,20.66
O100331,10106,2025-02-01,Flour 1kg,Baking,France,Supermarket,1,10.14,0.2,8.11,5.03,3.08
O100480,10060,2025-02-01,Tomato Sauce,Canned Goods,Morocco,Supermarket,2,12.3,0.0,24.6,15.92,8.68
O100325,10086,2025-02-02,Flour 1kg,Baking,Morocco,Retail,5,10.52,0.05,49.97,32.76,17.21
O100060,10107,2025-02-03,Flour 5kg,Baking,Morocco,Supermarket,3,50.86,0.05,144.95,84.59,60.36
O100218,10012,2025-02-04,Tuna 160g,Canned Goods,Morocco,Retail,5,9.53,0.0,47.65,33.27,14.38
O100032,10019,2025-02-04,Dates 1kg,Pantry,Belgium,Supermarket,4,54.51,0.05,207.14,125.71,81.43
O100323,10027,2025-02-04,Couscous 1kg,Grains,Morocco,Retail,2,17.63,0.0,35.26,21.86,13.4
O100076,10075,2025-02-05,Honey 500g,Pantry,Morocco,Supermarket,1,38.61,0.0,38.61,22.76,15.85
O100306,10032,2025-02-06,Cheese 500g,Dairy,Morocco,Retail,2,39.19,0.15,66.62,43.98,22.64
O100090,10085,2025-02-06,Flour 1kg,Baking,France,Retail,1,10.35,0.05,9.83,5.92,3.91
O100202,10042,2025-02-06,Flour 1kg,Baking,Morocco,Supermarket,3,11.99,0.0,35.97,24.76,11.21
O100039,10093,2025-02-06,Couscous 1kg,Grains,Morocco,Online,3,19.41,0.0,58.23,35.89,22.34
O100389,10017,2025-02-07,Couscous 1kg,Grains,Morocco,Supermarket,2,18.74,0.1,33.73,23.14,10.59
O100266,10086,2025-02-08,Dates 1kg,Pantry,France,Supermarket,2,58.68,0.0,117.36,84.39,32.97
O100227,10033,2025-02-08,Flour 1kg,Baking,Spain,Supermarket,5,11.02,0.1,49.59,33.07,16.52
O100430,10059,2025-02-08,Couscous 1kg,Grains,Morocco,Retail,5,18.5,0.0,92.5,63.46,29.04
O100324,10035,2025-02-09,Tomato Sauce,Canned Goods,Morocco,Retail,1,11.36,0.2,9.09,6.28,2.81
O100214,10018,2025-02-09,Dates 1kg,Pantry,Morocco,Supermarket,1,53.31,0.0,53.31,33.6,19.71
O100373,10040,2025-02-10,Couscous 1kg,Grains,Belgium,Supermarket,2,16.88,0.0,33.76,20.39,13.37
